2016-05-12 10:00:58,325 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 10:00:58,366 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 10:00:58,372 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-05-12 10:01:01,161 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-05-12 10:01:01,191 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 10:01:01,205 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 10:01:01,331 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 10:01:01,348 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-05-12 14:18:07,036 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 14:18:07,055 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 14:18:07,114 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 14:18:07,132 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-05-12 16:29:23,029 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2016-05-12 16:29:28,828 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 16:29:28,843 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 16:29:29,029 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 16:29:29,040 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-05-12 17:01:38,661 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 17:01:38,703 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 17:01:38,705 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 17:01:38,715 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-05-12 17:57:53,125 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 17:57:53,133 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-05-12 17:57:53,135 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-12 17:57:53,141 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
